id_number,cluster
MOBEAST007,1
MOBEAST069,1
MOBEAST051,1
MOBEAST016,1
MOBEAST033,1
MOBEAST005,1
MOBEAST004,1
MOBEAST042,1
MOBEAST023,1
MOBEAST070,1
MOBEAST036,1
MOBEAST022,1
MOBEAST057,1
MOBEAST039,1
MOBEAST044,1
MOBEAST014,1
MOBEAST030,1
MOBEAST015,1
MOBEAST052,1
MOBEAST011,1
MOBEAST006,1
MOBEAST058,2
MOBEAST040,2
MOBEAST021,2
MOBEAST003,2
MOBEAST013,2
MOBEAST061,3
MOBEAST043,3
MOBEAST025,3
MOBEAST008,3
MOBEAST059,3
MOBEAST038,3
MOBEAST064,3
MOBEAST072,3
MOBEAST065,3
MOBEAST055,3
MOBEAST002,3
MOBEAST056,3
MOBEAST071,3
MOBEAST068,3
MOBEAST046,3
MOBEAST009,3
MOBEAST054,3
MOBEAST049,3
MOBEAST017,3
MOBEAST012,3
MOBEAST028,3
MOBEAST020,3
MOBEAST050,3
MOBEAST067,3
MOBEAST066,3
MOBEAST053,3
MOBEAST018,3
MOBEAST035,3
MOBEAST063,3
MOBEAST045,3
MOBEAST027,3
MOBEAST029,3
MOBEAST019,3
MOBEAST034,3
MOBEAST031,3
MOBEAST024,3
MOBEAST041,3
MOBEAST062,3
MOBEAST048,3
MOBEAST026,3
MOBEAST032,3
MOBEAST037,3
MOBEAST047,3
MOBEAST001,3
MOBEAST060,4
MOBEAST010,4
